KLYS NAME 	 KLYS PHAS 	 SBST PHAS 	 SUM PHAS 	 KLYS PDES 	 SBST PDES 	 SUM PDES 	 FAST FBCK 	 FBCK PHAS 	 FBCK PDES 	 KLYS ENLD 	 PHAS EGAIN 	 LINAC PHAS E 	 PDES EGAIN 	 LINAC PDES E
KLYS:LI13:41 	  -0.41 	  -1.31 	  -1.72 	   0.00 	   0.00 	   0.00 	   0.00 	  -1.72 	   0.00 	 233.41 	 233.30 	  11.79 	 233.41 	  11.79
KLYS:LI13:61 	  -0.52 	  -1.31 	  -1.83 	   0.00 	   0.00 	   0.00 	   0.00 	  -1.83 	   0.00 	 262.12 	 261.98 	  12.05 	 262.12 	  12.05
KLYS:LI13:71 	   0.21 	  -1.31 	  -1.10 	   0.00 	   0.00 	   0.00 	   0.00 	  -1.10 	   0.00 	 242.16 	 242.11 	  12.29 	 242.16 	  12.29
KLYS:LI14:11 	   0.08 	   1.43 	   1.51 	   0.00 	   0.63 	   0.63 	   0.00 	   1.51 	   0.63 	 222.40 	 222.32 	  12.52 	 222.38 	  12.52
KLYS:LI14:21 	  -0.22 	   1.43 	   1.21 	   0.00 	   0.63 	   0.63 	   0.00 	   1.21 	   0.63 	 223.70 	 223.65 	  12.74 	 223.68 	  12.74
KLYS:LI14:31 	  -0.50 	   1.43 	   0.92 	   0.00 	   0.63 	   0.63 	   0.00 	   0.92 	   0.63 	 218.57 	 218.54 	  12.96 	 218.56 	  12.96
KLYS:LI14:41 	  -0.35 	   1.43 	   1.08 	   0.00 	   0.63 	   0.63 	   0.00 	   1.08 	   0.63 	 237.69 	 237.65 	  13.20 	 237.68 	  13.20
KLYS:LI14:51 	   0.06 	   1.43 	   1.48 	   0.00 	   0.63 	   0.63 	   0.00 	   1.48 	   0.63 	 220.03 	 219.96 	  13.42 	 220.02 	  13.42
KLYS:LI14:61 	 -11.06 	   1.43 	  -9.64 	 -10.52 	   0.63 	  -9.89 	   0.00 	  -9.64 	  -9.89 	 206.42 	 203.51 	  13.62 	 203.35 	  13.62
KLYS:LI14:71 	  -9.52 	   1.43 	  -8.09 	  -9.97 	   0.63 	  -9.33 	   0.00 	  -8.09 	  -9.33 	 233.28 	 230.96 	  13.85 	 230.20 	  13.85
KLYS:LI14:81 	   0.47 	   1.43 	   1.90 	   0.00 	   0.63 	   0.63 	   0.00 	   1.90 	   0.63 	 222.86 	 222.73 	  14.07 	 222.84 	  14.07
KLYS:LI15:11 	  -0.16 	   1.02 	   0.86 	   0.00 	   1.00 	   1.00 	   0.00 	   0.86 	   1.00 	 215.83 	 215.81 	  14.29 	 215.80 	  14.29
KLYS:LI15:21 	  -0.50 	   1.02 	   0.52 	   0.00 	   1.00 	   1.00 	   0.00 	   0.52 	   1.00 	 209.98 	 209.97 	  14.50 	 209.94 	  14.50
KLYS:LI15:31 	  -0.89 	   1.02 	   0.13 	   0.00 	   1.00 	   1.00 	   0.00 	   0.13 	   1.00 	 226.22 	 226.22 	  14.72 	 226.18 	  14.72
KLYS:LI15:51 	  -0.40 	   1.02 	   0.62 	   0.00 	   1.00 	   1.00 	   0.00 	   0.62 	   1.00 	 176.30 	 176.29 	  14.90 	 176.28 	  14.90
KLYS:LI15:71 	  -0.53 	   1.02 	   0.49 	   0.00 	   1.00 	   1.00 	   0.00 	   0.49 	   1.00 	 222.17 	 222.16 	  15.12 	 222.13 	  15.12
KLYS:LI15:81 	  -0.29 	   1.02 	   0.73 	   0.00 	   1.00 	   1.00 	   0.00 	   0.73 	   1.00 	 257.67 	 257.65 	  15.38 	 257.63 	  15.38
KLYS:LI16:21 	   0.61 	  -0.51 	   0.09 	   0.00 	   0.00 	   0.00 	   0.00 	   0.09 	   0.00 	 180.96 	 180.96 	  15.56 	 180.96 	  15.56
KLYS:LI16:41 	  -1.11 	  -0.51 	  -1.63 	   0.00 	   0.00 	   0.00 	   0.00 	  -1.63 	   0.00 	 209.18 	 209.10 	  15.77 	 209.18 	  15.77
KLYS:LI16:51 	  -0.11 	  -0.51 	  -0.62 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.62 	   0.00 	 212.22 	 212.20 	  15.98 	 212.22 	  15.98
KLYS:LI16:71 	  -0.76 	  -0.51 	  -1.28 	   0.00 	   0.00 	   0.00 	   0.00 	  -1.28 	   0.00 	 237.34 	 237.28 	  16.22 	 237.34 	  16.22
KLYS:LI16:81 	   5.29 	  -0.51 	   4.78 	   4.86 	   0.00 	   4.86 	   0.00 	   4.78 	   4.86 	 164.88 	 164.31 	  16.38 	 164.29 	  16.38
KLYS:LI17:11 	   0.00 	   0.13 	   0.13 	   0.00 	  -0.31 	  -0.31 	 -45.08 	 -44.95 	 -45.40 	 203.36 	 143.91 	  16.53 	 142.80 	  16.53
KLYS:LI17:21 	   0.72 	   0.13 	   0.84 	   0.00 	  -0.31 	  -0.31 	 -45.08 	 -44.24 	 -45.40 	 228.41 	 163.64 	  16.69 	 160.39 	  16.69
KLYS:LI17:31 	   0.31 	   0.13 	   0.44 	   0.00 	  -0.31 	  -0.31 	 -45.08 	 -44.64 	 -45.40 	 219.10 	 155.89 	  16.85 	 153.85 	  16.84
KLYS:LI17:41 	  -0.28 	   0.13 	  -0.15 	   0.00 	  -0.31 	  -0.31 	 -45.08 	 -45.24 	 -45.40 	 180.44 	 127.06 	  16.97 	 126.70 	  16.97
KLYS:LI17:51 	   0.13 	   0.13 	   0.26 	   0.00 	  -0.31 	  -0.31 	 -45.08 	 -44.82 	 -45.40 	 238.35 	 169.06 	  17.14 	 167.37 	  17.14
KLYS:LI17:61 	   0.86 	   0.13 	   0.98 	   0.23 	  -0.31 	  -0.08 	 -45.08 	 -44.10 	 -45.16 	 195.94 	 140.71 	  17.28 	 138.15 	  17.27
KLYS:LI17:71 	  -0.90 	   0.13 	  -0.78 	   0.00 	  -0.31 	  -0.31 	 -45.08 	 -45.86 	 -45.40 	 237.94 	 165.70 	  17.45 	 167.08 	  17.44
KLYS:LI18:11 	   0.23 	  -0.58 	  -0.35 	   0.00 	   0.36 	   0.36 	  45.64 	  45.29 	  45.99 	 237.38 	 167.00 	  17.62 	 164.92 	  17.61
KLYS:LI18:21 	  -0.75 	  -0.58 	  -1.33 	   0.00 	   0.36 	   0.36 	  45.64 	  44.31 	  45.99 	 215.35 	 154.10 	  17.77 	 149.61 	  17.76
KLYS:LI18:31 	  -0.97 	  -0.58 	  -1.55 	   0.00 	   0.36 	   0.36 	  45.64 	  44.09 	  45.99 	 229.96 	 165.17 	  17.94 	 159.76 	  17.91
KLYS:LI18:61 	   0.18 	  -0.58 	  -0.40 	   0.00 	   0.36 	   0.36 	  45.64 	  45.24 	  45.99 	 194.99 	 137.31 	  18.07 	 135.47 	  18.05
KLYS:LI18:71 	   0.42 	  -0.58 	  -0.16 	   0.00 	   0.36 	   0.36 	  45.64 	  45.48 	  45.99 	 239.24 	 167.76 	  18.24 	 166.21 	  18.22
KLYS:LI18:81 	   0.19 	  -0.58 	  -0.39 	   0.00 	   0.36 	   0.36 	  45.64 	  45.24 	  45.99 	 244.60 	 172.23 	  18.41 	 169.93 	  18.39
KLYS:LI19:11 	  -0.13 	  -0.42 	  -0.55 	   0.00 	   0.11 	   0.11 	   0.00 	  -0.55 	   0.11 	 216.99 	 216.98 	  18.63 	 216.99 	  18.60
KLYS:LI19:21 	   0.25 	  -0.42 	  -0.17 	   0.00 	   0.11 	   0.11 	   0.00 	  -0.17 	   0.11 	 236.71 	 236.71 	  18.87 	 236.71 	  18.84
KLYS:LI19:41 	  -0.11 	  -0.42 	  -0.54 	   0.00 	   0.11 	   0.11 	   0.00 	  -0.54 	   0.11 	 242.76 	 242.75 	  19.11 	 242.76 	  19.08
KLYS:LI19:51 	  -0.29 	  -0.42 	  -0.71 	   0.00 	   0.11 	   0.11 	   0.00 	  -0.71 	   0.11 	 210.15 	 210.13 	  19.32 	 210.15 	  19.29
